                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0861,                0.54339,                  1.173,                0.90502,                0.87234,                0.90045,                0.60348,                 1.2888,                0.83607,                 1.4012,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0656,                0.51535,                  1.191,                 0.9199,                0.85523,                0.91238,                0.60789,                 1.2982,                0.76957,                 1.3609,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0612,                0.52239,                 1.1857,                0.81558,                0.84687,                0.82195,                0.55491,                 1.3118,                0.91564,                 1.3963,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0559,                0.52108,                 1.1814,                0.87852,                 0.9232,                0.93119,                0.62319,                 1.3061,                0.71239,                 1.3814,               0.000614,               0.000614,               0.000614
                     72,                 1.0595,                0.51123,                 1.1806,                0.83487,                 0.8617,                0.81412,                0.54729,                 1.2877,                0.93019,                 1.4015,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0214,                 0.5008,                 1.1526,                0.90822,                0.84217,                 0.8919,                0.59435,                 1.3283,                0.78617,                 1.4249,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0485,                0.50019,                 1.1512,                0.89978,                0.85962,                0.89266,                0.57689,                 1.3218,                0.74679,                 1.4037,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0314,                0.49359,                 1.1588,                0.90988,                0.85933,                0.89398,                0.61213,                 1.2898,                0.76673,                 1.3808,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0408,                0.49195,                 1.1696,                0.91466,                0.91213,                0.91114,                0.60819,                 1.3169,                0.71624,                 1.3963,               0.000515,               0.000515,               0.000515
                     77,                 1.0223,                0.48593,                  1.153,                0.90699,                0.87234,                0.89152,                0.60169,                 1.2873,                0.77388,                 1.4047,              0.0004952,              0.0004952,              0.0004952
                     78,                0.99097,                0.48119,                 1.1289,                0.92049,                0.87234,                0.86414,                0.56435,                 1.3473,                0.83929,                 1.4453,              0.0004754,              0.0004754,              0.0004754
                     79,                0.97998,                0.46936,                 1.1296,                0.79678,                0.83425,                0.78448,                0.51879,                 1.4299,                 1.0224,                 1.4695,              0.0004556,              0.0004556,              0.0004556
                     80,                0.99387,                0.47433,                 1.1263,                0.81322,                0.85106,                0.80981,                0.53717,                 1.3018,                0.98702,                 1.4073,              0.0004358,              0.0004358,              0.0004358
                     81,                0.97331,                0.47409,                 1.1184,                0.88896,                0.88298,                0.88095,                0.58743,                 1.3399,                 0.7679,                 1.3977,               0.000416,               0.000416,               0.000416
                     82,                0.95007,                0.46316,                 1.1025,                0.87068,                0.85953,                0.88771,                0.59715,                 1.2942,                0.83884,                 1.4129,              0.0003962,              0.0003962,              0.0003962
                     83,                0.96735,                0.47554,                 1.1179,                0.92714,                 0.8617,                 0.8969,                0.59618,                  1.285,                0.77078,                  1.411,              0.0003764,              0.0003764,              0.0003764
                     84,                0.95898,                0.45731,                 1.1072,                0.89903,                0.85252,                0.87652,                 0.5703,                 1.3426,                0.83119,                 1.4239,              0.0003566,              0.0003566,              0.0003566
